FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2019-2023
01001,"Autauga County, AL",2.0,6.4,12.1,14.5,18.0,21.7,28.3
01003,"Baldwin County, AL",3.0,6.5,12.1,16.8,23.1,27.7,32.8
01005,"Barbour County, AL",6.0,7.3,9.2,11.8,10.9,14.5,11.5
01007,"Bibb County, AL",1.0,4.2,4.9,4.7,7.1,9.0,11.5
01009,"Blount County, AL",1.0,2.7,5.3,7.0,9.6,12.4,15.6
01011,"Bullock County, AL",8.0,5.4,8.8,10.0,7.7,11.9,9.0
01013,"Butler County, AL",6.0,4.6,8.2,8.0,10.4,12.9,13.8
01015,"Calhoun County, AL",3.0,7.5,11.0,14.2,15.2,16.0,20.5
01017,"Chambers County, AL",6.0,4.2,7.4,8.9,9.5,11.0,14.6
01019,"Cherokee County, AL",8.0,3.8,6.3,6.7,9.7,13.1,15.9
01021,"Chilton County, AL",1.0,3.0,6.5,7.5,9.9,12.5,15.2
01023,"Choctaw County, AL",9.0,4.3,7.0,8.5,9.6,11.9,13.9
01025,"Clarke County, AL",9.0,5.5,8.9,10.8,12.1,12.7,15.4
01027,"Clay County, AL",9.0,4.3,5.9,7.3,7.8,8.8,15.2
01029,"Cleburne County, AL",8.0,2.7,5.8,6.5,9.2,9.5,18.2
01031,"Coffee County, AL",4.0,5.8,12.2,16.5,19.3,22.6,21.5
01033,"Colbert County, AL",3.0,5.8,9.4,11.5,14.1,18.0,20.3
01035,"Conecuh County, AL",9.0,4.1,6.2,6.4,9.2,9.7,13.1
01037,"Coosa County, AL",8.0,3.4,3.6,6.3,8.0,9.7,14.9
01039,"Covington County, AL",6.0,4.7,7.1,9.1,12.2,13.8,17.2
01041,"Crenshaw County, AL",8.0,3.9,6.8,8.4,11.2,11.0,16.8
01043,"Cullman County, AL",4.0,3.9,7.3,7.8,11.9,14.2,19.1
01045,"Dale County, AL",4.0,9.0,11.6,13.5,14.0,17.5,19.3
01047,"Dallas County, AL",4.0,8.8,11.3,12.2,13.9,13.3,17.0
01049,"DeKalb County, AL",6.0,3.7,5.7,7.1,8.3,9.9,13.9
01051,"Elmore County, AL",2.0,5.4,10.3,12.8,16.6,21.1,24.4
01053,"Escambia County, AL",6.0,4.8,7.2,7.6,10.6,12.2,12.5
01055,"Etowah County, AL",3.0,5.2,8.9,10.2,13.4,15.2,17.5
01057,"Fayette County, AL",8.0,3.8,7.3,8.5,9.2,11.6,15.6
01059,"Franklin County, AL",6.0,3.4,6.0,6.9,9.7,12.2,14.9
01061,"Geneva County, AL",3.0,4.5,5.9,6.8,8.7,10.9,13.3
01063,"Greene County, AL",2.0,6.5,9.6,10.4,10.5,11.6,12.5
01065,"Hale County, AL",2.0,5.0,6.7,8.9,8.1,11.7,16.8
01067,"Henry County, AL",3.0,4.8,8.6,8.2,14.1,15.8,21.7
01069,"Houston County, AL",3.0,7.0,12.7,15.0,18.4,19.3,22.8
01071,"Jackson County, AL",6.0,3.4,6.8,8.0,10.4,13.2,15.6
01073,"Jefferson County, AL",1.0,9.5,15.8,19.9,24.6,29.3,35.9
01075,"Lamar County, AL",8.0,3.4,5.9,6.2,7.8,10.2,11.6
01077,"Lauderdale County, AL",3.0,8.3,13.0,16.4,18.5,21.9,27.1
01079,"Lawrence County, AL",3.0,2.4,4.0,6.2,7.5,13.0,15.6
01081,"Lee County, AL",3.0,16.6,21.6,25.3,27.9,31.3,41.3
01083,"Limestone County, AL",2.0,6.2,8.7,13.8,16.9,21.9,30.4
01085,"Lowndes County, AL",2.0,5.0,6.8,8.2,11.0,14.2,13.9
01087,"Macon County, AL",3.0,14.7,18.1,18.0,18.8,19.5,20.7
01089,"Madison County, AL",2.0,18.8,21.4,30.1,34.3,37.8,45.7
01091,"Marengo County, AL",6.0,6.4,8.8,11.5,12.1,17.7,20.4
01093,"Marion County, AL",9.0,3.5,6.1,6.7,8.0,8.7,12.8
01095,"Marshall County, AL",4.0,5.2,8.6,11.5,13.9,15.3,21.3
01097,"Mobile County, AL",2.0,7.5,12.4,15.5,18.6,20.3,25.2
01099,"Monroe County, AL",8.0,5.7,8.7,10.8,11.8,9.9,11.4
01101,"Montgomery County, AL",2.0,12.7,20.0,24.2,28.5,30.9,34.3
01103,"Morgan County, AL",3.0,8.4,11.8,15.5,18.4,19.5,23.2
01105,"Perry County, AL",8.0,7.1,9.7,11.5,10.0,11.0,16.8
01107,"Pickens County, AL",2.0,4.6,7.0,6.6,9.8,9.8,13.7
01109,"Pike County, AL",6.0,7.1,11.3,14.3,18.4,22.5,27.3
01111,"Randolph County, AL",8.0,3.7,7.2,7.7,10.0,11.9,20.5
01113,"Russell County, AL",2.0,3.0,5.7,8.2,9.7,14.7,16.9
01115,"St. Clair County, AL",1.0,3.1,6.4,8.5,11.1,14.9,19.9
01117,"Shelby County, AL",1.0,5.8,17.8,29.0,36.8,40.5,46.2
01119,"Sumter County, AL",8.0,7.4,9.9,11.1,12.4,15.3,19.0
01121,"Talladega County, AL",4.0,5.1,7.8,10.2,11.2,12.3,16.8
01123,"Tallapoosa County, AL",6.0,4.4,8.3,11.5,14.1,15.5,18.7
01125,"Tuscaloosa County, AL",2.0,10.9,16.6,20.0,24.0,26.6,31.4
01127,"Walker County, AL",1.0,4.0,6.4,7.2,9.1,10.3,16.0
01129,"Washington County, AL",8.0,3.6,5.5,6.7,8.6,9.5,16.2
01131,"Wilcox County, AL",9.0,6.3,9.5,10.3,10.1,11.1,12.3
01133,"Winston County, AL",8.0,3.3,5.2,5.4,8.3,11.7,13.4
02010,"Aleutian Islands, AK",,12.5,15.3,,,,
02013,"Aleutians East Borough, AK",9.0,,,12.9,4.9,15.7,18.1
02016,"Aleutians West Census Area, AK",9.0,,,14.8,11.0,12.0,17.5
02020,"Anchorage Municipality, AK",2.0,15.9,23.6,26.9,28.9,32.8,37.7
02050,"Bethel Census Area, AK",7.0,7.9,13.7,13.1,13.1,11.6,10.4
02060,"Bristol Bay Borough, AK",9.0,13.1,16.5,18.9,21.1,19.8,25.1
02063,"Chugach Census Area, Alaska, AK",9.0,,,,,,29.6
02066,"Copper River Census Area, Alaska, AK",9.0,,,,,,28.4
02068,"Denali Borough, AK",9.0,,,,22.7,25.6,23.6
