FIPS Code,State,Area name,Attribute,Value
0,US,United States,"Less than a high school diploma, 1970",52373312
0,US,United States,"High school diploma only, 1970",34158051
0,US,United States,"Some college (1-3 years), 1970",11650730
0,US,United States,"Four years of college or higher, 1970",11717266
0,US,United States,"Percent of adults with less than a high school diploma, 1970",47.7
0,US,United States,"Percent of adults with a high school diploma only, 1970",31.1
0,US,United States,"Percent of adults completing some college (1-3 years), 1970",10.6
0,US,United States,"Percent of adults completing four years of college or higher, 1970",10.7
0,US,United States,"Less than a high school diploma, 1980",44535197
0,US,United States,"High school diploma only, 1980",45947035
0,US,United States,"Some college (1-3 years), 1980",20794975
0,US,United States,"Four years of college or higher, 1980",21558480
0,US,United States,"Percent of adults with less than a high school diploma, 1980",33.5
0,US,United States,"Percent of adults with a high school diploma only, 1980",34.6
0,US,United States,"Percent of adults completing some college (1-3 years), 1980",15.7
0,US,United States,"Percent of adults completing four years of college or higher, 1980",16.2
0,US,United States,"Less than high school graduate, 1990",39343718
0,US,United States,"High school graduate (or equivalency), 1990",47642763
0,US,United States,"Some college or associate degree, 1990",39571702
0,US,United States,"Bachelor's degree or higher, 1990",32310253
0,US,United States,"Percent of adults who are not high school graduates, 1990",24.8
0,US,United States,"Percent of adults who are high school graduates (or equivalent), 1990",30
0,US,United States,"Percent of adults completing some college or associate degree, 1990",24.9
0,US,United States,"Percent of adults with a bachelor's degree or higher, 1990",20.3
0,US,United States,"Less than high school graduate, 2000",35715625
0,US,United States,"High school graduate (or equivalency), 2000",52168981
0,US,United States,"Some college or associate degree, 2000",49864428
0,US,United States,"Bachelor's degree or higher, 2000",44462605
0,US,United States,"Percent of adults who are not high school graduates, 2000",19.6
0,US,United States,"Percent of adults who are high school graduates (or equivalent), 2000",28.6
0,US,United States,"Percent of adults completing some college or associate degree, 2000",27.4
0,US,United States,"Percent of adults with a bachelor's degree or higher, 2000",24.4
0,US,United States,"Less than high school graduate, 2008-12",29179819
0,US,United States,"High school graduate (or equivalency), 2008-12",57706852
0,US,United States,"Some college or associate degree, 2008-12",59244324
0,US,United States,"Bachelor's degree or higher, 2008-12",58205022
0,US,United States,"Percent of adults who are not high school graduates, 2008-12",14.28031114
0,US,United States,"Percent of adults who are high school graduates (or equivalent), 2008-12",28.24115535
0,US,United States,"Percent of adults completing some college or associate degree, 2008-12",28.99357875
0,US,United States,"Percent of adults with a bachelor's degree or higher, 2008-12",28.48495476
0,US,United States,"Less than high school graduate, 2019-23",24230217
0,US,United States,"High school graduate (or equivalency), 2019-23",59836489
0,US,United States,"Some college or associate degree, 2019-23",64413653
0,US,United States,"Bachelor's degree or higher, 2019-23",79954302
0,US,United States,"Percent of adults who are not high school graduates, 2019-23",10.60706676
0,US,United States,"Percent of adults who are high school graduates (or equivalent), 2019-23",26.19413741
0,US,United States,"Percent of adults completing some college or associate degree, 2019-23",28.1978456
0,US,United States,"Percent of adults with a bachelor's degree or higher, 2019-23",35.00095023
1000,AL,Alabama,"Less than a high school diploma, 1970",1062306
1000,AL,Alabama,"High school diploma only, 1970",468269
1000,AL,Alabama,"Some college (1-3 years), 1970",136287
1000,AL,Alabama,"Four years of college or higher, 1970",141936
1000,AL,Alabama,"Percent of adults with less than a high school diploma, 1970",58.7
1000,AL,Alabama,"Percent of adults with a high school diploma only, 1970",25.9
1000,AL,Alabama,"Percent of adults completing some college (1-3 years), 1970",7.5
1000,AL,Alabama,"Percent of adults completing four years of college or higher, 1970",7.8
1000,AL,Alabama,"Less than a high school diploma, 1980",964840
1000,AL,Alabama,"High school diploma only, 1980",704207
1000,AL,Alabama,"Some college (1-3 years), 1980",278205
1000,AL,Alabama,"Four years of college or higher, 1980",270063
1000,AL,Alabama,"Percent of adults with less than a high school diploma, 1980",43.5
1000,AL,Alabama,"Percent of adults with a high school diploma only, 1980",31.8
1000,AL,Alabama,"Percent of adults completing some college (1-3 years), 1980",12.5
1000,AL,Alabama,"Percent of adults completing four years of college or higher, 1980",12.2
1000,AL,Alabama,"Less than high school graduate, 1990",843638
1000,AL,Alabama,"High school graduate (or equivalency), 1990",749591
1000,AL,Alabama,"Some college or associate degree, 1990",553512
1000,AL,Alabama,"Bachelor's degree or higher, 1990",399228
1000,AL,Alabama,"Percent of adults who are not high school graduates, 1990",33.1
1000,AL,Alabama,"Percent of adults who are high school graduates (or equivalent), 1990",29.4
1000,AL,Alabama,"Percent of adults completing some college or associate degree, 1990",21.7
1000,AL,Alabama,"Percent of adults with a bachelor's degree or higher, 1990",15.7
1000,AL,Alabama,"Less than high school graduate, 2000",714081
1000,AL,Alabama,"High school graduate (or equivalency), 2000",877216
1000,AL,Alabama,"Some college or associate degree, 2000",746495
1000,AL,Alabama,"Bachelor's degree or higher, 2000",549608
1000,AL,Alabama,"Percent of adults who are not high school graduates, 2000",24.7
1000,AL,Alabama,"Percent of adults who are high school graduates (or equivalent), 2000",30.4
1000,AL,Alabama,"Percent of adults completing some college or associate degree, 2000",25.9
1000,AL,Alabama,"Percent of adults with a bachelor's degree or higher, 2000",19
1000,AL,Alabama,"Less than high school graduate, 2008-12",551030
1000,AL,Alabama,"High school graduate (or equivalency), 2008-12",991406
1000,AL,Alabama,"Some college or associate degree, 2008-12",918987
1000,AL,Alabama,"Bachelor's degree or higher, 2008-12",705001
1000,AL,Alabama,"Percent of adults who are not high school graduates, 2008-12",17.40228093
1000,AL,Alabama,"Percent of adults who are high school graduates (or equivalent), 2008-12",31.30995723
1000,AL,Alabama,"Percent of adults completing some college or associate degree, 2008-12",29.02286617
1000,AL,Alabama,"Percent of adults with a bachelor's degree or higher, 2008-12",22.26489567
1000,AL,Alabama,"Less than high school graduate, 2019-23",409381
1000,AL,Alabama,"High school graduate (or equivalency), 2019-23",1046374
1000,AL,Alabama,"Some college or associate degree, 2019-23",1035466
1000,AL,Alabama,"Bachelor's degree or higher, 2019-23",957081
1000,AL,Alabama,"Percent of adults who are not high school graduates, 2019-23",11.87195901
1000,AL,Alabama,"Percent of adults who are high school graduates (or equivalent), 2019-23",30.34461599
1000,AL,Alabama,"Percent of adults completing some college or associate degree, 2019-23",30.02828639
1000,AL,Alabama,"Percent of adults with a bachelor's degree or higher, 2019-23",27.75513862
1001,AL,Autauga County,2013 Urban Influence Code,2
1001,AL,Autauga County,2024 Urban Influence Code,4
1001,AL,Autauga County,2013 Rural-urban Continuum Code,2
1001,AL,Autauga County,2023 Rural-urban Continuum Code,2
1001,AL,Autauga County,"Less than a high school diploma, 1970",6611
1001,AL,Autauga County,"High school diploma only, 1970",3757
1001,AL,Autauga County,"Some college (1-3 years), 1970",933
1001,AL,Autauga County,"Four years of college or higher, 1970",767
1001,AL,Autauga County,"Percent of adults with less than a high school diploma, 1970",54.8
1001,AL,Autauga County,"Percent of adults with a high school diploma only, 1970",31.1
1001,AL,Autauga County,"Percent of adults completing some college (1-3 years), 1970",7.7
1001,AL,Autauga County,"Percent of adults completing four years of college or higher, 1970",6.4
1001,AL,Autauga County,"Less than a high school diploma, 1980",7074
1001,AL,Autauga County,"High school diploma only, 1980",6145
1001,AL,Autauga County,"Some college (1-3 years), 1980",2104
1001,AL,Autauga County,"Four years of college or higher, 1980",2117
1001,AL,Autauga County,"Percent of adults with less than a high school diploma, 1980",40.6
1001,AL,Autauga County,"Percent of adults with a high school diploma only, 1980",35.2
1001,AL,Autauga County,"Percent of adults completing some college (1-3 years), 1980",12.1
1001,AL,Autauga County,"Percent of adults completing four years of college or higher, 1980",12.1
1001,AL,Autauga County,"Less than high school graduate, 1990",6252
1001,AL,Autauga County,"High school graduate (or equivalency), 1990",6671
1001,AL,Autauga County,"Some college or associate degree, 1990",4912
1001,AL,Autauga County,"Bachelor's degree or higher, 1990",3026
1001,AL,Autauga County,"Percent of adults who are not high school graduates, 1990",30
1001,AL,Autauga County,"Percent of adults who are high school graduates (or equivalent), 1990",32
1001,AL,Autauga County,"Percent of adults completing some college or associate degree, 1990",23.5
1001,AL,Autauga County,"Percent of adults with a bachelor's degree or higher, 1990",14.5
1001,AL,Autauga County,"Less than high school graduate, 2000",5872
