,FIPS,State,Area Name,Rural-Urban Code 2023,BA or Higher 1970,BA or Higher 1980,BA or Higher 1990,BA or Higher 2000,BA or Higher 2008-12,BA or Higher 2019-23
2,1001,AL,Autauga County,2.0,767.0,2117.0,3026.0,4972.0,7629.0,11530.0
3,1003,AL,Baldwin County,3.0,2038.0,5498.0,10870.0,22146.0,35307.0,56408.0
4,1005,AL,Barbour County,6.0,861.0,1300.0,1857.0,2068.0,2757.0,2021.0
5,1007,AL,Bibb County,1.0,302.0,433.0,476.0,962.0,1396.0,1827.0
6,1009,AL,Blount County,1.0,404.0,1144.0,1773.0,3235.0,4792.0,6386.0
7,1011,AL,Bullock County,8.0,314.0,516.0,676.0,586.0,900.0,664.0
8,1013,AL,Butler County,6.0,541.0,1029.0,1083.0,1433.0,1812.0,1812.0
9,1015,AL,Calhoun County,3.0,3921.0,7213.0,10266.0,11265.0,12544.0,16154.0
10,1017,AL,Chambers County,6.0,847.0,1710.0,2101.0,2339.0,2604.0,3571.0
11,1019,AL,Cherokee County,8.0,329.0,712.0,866.0,1636.0,2429.0,2994.0
12,1021,AL,Chilton County,1.0,415.0,1158.0,1550.0,2574.0,3608.0,4688.0
13,1023,AL,Choctaw County,9.0,362.0,640.0,836.0,1013.0,1148.0,1252.0
14,1025,AL,Clarke County,9.0,738.0,1344.0,1755.0,2137.0,2186.0,2463.0
15,1027,AL,Clay County,9.0,311.0,479.0,628.0,763.0,856.0,1563.0
16,1029,AL,Cleburne County,8.0,162.0,431.0,529.0,879.0,964.0,1978.0
17,1031,AL,Coffee County,4.0,1040.0,2766.0,4274.0,5574.0,7543.0,7945.0
18,1033,AL,Colbert County,3.0,1554.0,3034.0,3956.0,5273.0,6843.0,8307.0
19,1035,AL,Conecuh County,9.0,342.0,556.0,574.0,851.0,869.0,1067.0
20,1037,AL,Coosa County,8.0,196.0,237.0,456.0,663.0,787.0,1180.0
21,1039,AL,Covington County,6.0,918.0,1636.0,2198.0,3142.0,3607.0,4545.0
22,1041,AL,Crenshaw County,8.0,296.0,576.0,740.0,1039.0,1045.0,1530.0
23,1043,AL,Cullman County,4.0,1113.0,2671.0,3405.0,6162.0,7780.0,11910.0
24,1045,AL,Dale County,4.0,1895.0,2898.0,3948.0,4398.0,5793.0,6539.0
25,1047,AL,Dallas County,4.0,2329.0,3265.0,3474.0,4004.0,3723.0,4338.0
26,1049,AL,DeKalb County,6.0,884.0,1808.0,2520.0,3528.0,4623.0,6727.0
27,1051,AL,Elmore County,2.0,967.0,2567.0,4031.0,7173.0,11206.0,15104.0
28,1053,AL,Escambia County,6.0,886.0,1586.0,1707.0,2693.0,3197.0,3185.0
29,1055,AL,Etowah County,3.0,2765.0,5491.0,6689.0,9372.0,10830.0,12683.0
30,1057,AL,Fayette County,8.0,360.0,820.0,995.0,1157.0,1393.0,1750.0
31,1059,AL,Franklin County,6.0,467.0,1029.0,1269.0,2021.0,2560.0,3150.0
32,1061,AL,Geneva County,3.0,554.0,861.0,1058.0,1526.0,2037.0,2526.0
33,1063,AL,Greene County,2.0,342.0,558.0,618.0,652.0,694.0,658.0
34,1065,AL,Hale County,2.0,391.0,564.0,822.0,858.0,1227.0,1672.0
