GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 00000,United States, ,CAINC5N,10.0,...,Personal income (thousands of dollars) ,Thousands of dollars,8990104000,9146700000,9474684000,10008929000,10540800000,11291446000,11925044000,12423410000,12058253000,12547501000,13299818000,13905749000,14063283000,14778160000,15467113000,15884741000,16658962000,17514402000,18349584000,19600945000,21403979000,22077232000,23380269000
 00000,United States, ,CAINC5N,20.0,...,Population (persons) 2/,Number of persons,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331526933,332048977,333271411,334914895
 00000,United States, ,CAINC5N,30.0,...,Per capita personal income (dollars) ,Dollars,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42649,44237,44401,46287,48060,48971,51004,53309,55566,59123,64460,66244,69810
 00000,United States, ,CAINC5N,35.0,...,Earnings by place of work ,Thousands of dollars,6865291000,7001002000,7243377000,7674785000,8039238000,8519349000,8866261000,9014085000,8688913000,9023916000,9444387000,9854834000,10180570000,10613874000,11039821000,11311477000,11848205000,12438590000,12988477000,13169880000,14354763000,15297028000,16115221000
 00000,United States, ,CAINC5N,36.0,..., Less: Contributions for government social insurance 3/,Thousands of dollars,732117000,750338000,777906000,827820000,871941000,921123000,960011000,986884000,962826000,982045000,915062000,948953000,1102460000,1151698000,1202909000,1237223000,1297292000,1359444000,1422391000,1447257000,1557083000,1702143000,1813878000
 00000,United States, ,CAINC5N,37.0,...,  Employee and self-employed contributions for government social insurance ,Thousands of dollars,374669000,384872000,396049000,419777000,444586000,474522000,499034000,516200000,505514000,513895000,423231000,436562000,577062000,606203000,634466000,657084000,693454000,735774000,772947000,789777000,851561000,938145000,994229000
 00000,United States, ,CAINC5N,38.0,...,  Employer contributions for government social insurance ,Thousands of dollars,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580139000,603838000,623670000,649444000,657480000,705522000,763998000,819649000
 00000,United States, ,CAINC5N,42.0,..., Plus: Adjustment for residence 4/,Thousands of dollars,2692000,2657000,2679000,2659000,2614000,2617000,2596000,2649000,3019000,3068000,3201000,3411000,3651000,3438000,3403000,3062000,2980000,3451000,3438000,4012000,4149000,4201000,4398000
 00000,United States, ,CAINC5N,45.0,..., Equals: Net earnings by place of residence ,Thousands of dollars,6135866000,6253321000,6468150000,6849624000,7169911000,7600843000,7908846000,8029850000,7729106000,8044939000,8532526000,8909292000,9081761000,9465614000,9840315000,10077316000,10553893000,11082597000,11569524000,11726635000,12801829000,13599086000,14305741000
 00000,United States, ,CAINC5N,46.0,...," Plus: Dividends, interest, and rent 5/",Thousands of dollars,1661673000,1608189000,1659306000,1738099000,1854178000,2076789000,2288133000,2438478000,2182454000,2177445000,2408638000,2633469000,2557205000,2771030000,2941428000,3030442000,3249424000,3455566000,3633001000,3645515000,3948422000,4339000000,4806534000
